Designator,Mid X,Mid Y,Rotation ,Layer
J1,-102.2,-80.8,90,bottom
C1,105,-94.2,90,top
C2,102.6,-85.9,180,top
C3,106.3,-91.8,90,top
C4,100.3,-87.5,-90,top
C5,112.4,-104.3,-90,top
C6,104.9,-109.3,180,top
C7,99.5,-112.7,-90,top
C8,104.9,-106.85,180,top
C9,109.1,-112.7,-90,top
C10,113.03,-114.554,180,top
C11,140.6,-112.4,90,top
C12,130,-111.8,90,top
C13,140,-100.7,90,top
C14,137,-101,180,top
C15,133,-102.6,180,top
C16,124.5,-100.7,180,top
C17,138.7,-83.6,0,top
C18,120.3,-86.9,-90,top
C19,141.2,-82,90,top
C20,120.3,-84.6,90,top
C21,123.4,-81,0,top
C22,119.253,-109.347,90,top
C23,116.84,-95.758,0,top
C24,120.65,-94.742,-90,top
C25,120.142,-99.314,90,top
C26,115.443,-98.044,-90,top
C27,114.554,-111.76,0,top
C28,118.999,-106.426,0,top
C29,120.142,-93.091,0,top
C48,117.1,-92.2,0,top
C49,117.1,-86.6,0,top
C50,154.7,-98.8,90,top
D2,126.9,-103.4,90,top
D3,151.4875,-95.4,0,top
F1,153.9,-112.4,90,top
FB1,145.1,-103.5,0,top
FB2,118.11,-98.679,90,top
IC1,101.6,-95.7,180,top
IC2,101.7,-90.4,180,top
IC3,107.4,-101.6,180,top
IC4,104.2,-112.7,0,top
IC5,135.4,-110.6,0,top
J2,162.7,-107.7,90,top
J3,137.9,-77.1,-90,top
J4,155.55,-83.4,90,top
J5,115.6,-79.9,90,top
J6,109.2,-80,90,top
J7,127.8,-77.5,-90,top
L1,100,-108,180,top
L2,109.8,-108.3,0,top
L3,124.436,-111.041,180,top
Q1,145.5,-107,90,top
R1,105.6,-96.9,0,top
R2,98.5,-87.2,0,top
R3,106.9,-94.2,-90,top
R4,100.2,-85.8,0,top
R5,105,-91.8,90,top
R6,103.12,-87.3,0,top
R7,98.1,-94.5,180,top
R8,101.9,-98.7,180,top
R9,98,-91.9,-90,top
R10,98,-89.6,-90,top
R11,113.2,-102.3,180,top
R12,114.5,-104.9,90,top
R13,109.9,-97,180,top
R14,113.1,-100.3,180,top
R15,147,-112.4,-90,top
R16,150.2,-112.4,-90,top
R17,137.5,-106,0,top
R18,116.586,-98.044,-90,top
R20,120.2,-91.1,180,top
R21,124.7,-103.4,90,top
R22,145.05,-79.65,180,top
R23,145.1,-82.2,180,top
R24,145,-84.2,180,top
R25,144.7,-87.6,180,top
R26,144.8,-89.5,180,top
R27,127.2,-81,90,top
R28,151.3875,-97.1,180,top
S1,159.55,-97.4,90,top
U1,153,-107.7,0,top
U2,130.2,-91.1,0,top
U3,116.205,-109.093,0,top
Y1,117.2,-89.4,-90,top
